"region","index","alpha_frac","gamma_frac","delta_frac","omicron_frac","other_frac"
"Greater Sacramento Region Health Officers",2021-04-24,0.641255605381166,0.0448430493273543,0.062780269058296,0,0.251121076233184
"Rural Association of Northern California Health Officers (RANCHO)",2021-04-24,0.779069767441861,0.0116279069767442,0.0348837209302326,0,0.174418604651163
"San Joaquin Valley Consortium (SJVC)",2021-04-24,0.558441558441558,0.0476190476190476,0.00432900432900433,0,0.38961038961039
"Southern California Health Officers",2021-04-24,0.64,0.107,0.012,0,0.241
"California",2021-04-24,0.627376425855513,0.0787615426398696,0.0315046170559479,0,0.262357414448669
"Association of Bay Area Health Officers (ABAHO)",2021-04-25,0.593333333333333,0.0533333333333333,0.0966666666666667,0,0.256666666666667
"Greater Sacramento Region Health Officers",2021-04-25,0.638392857142857,0.0491071428571429,0.0535714285714286,0,0.258928571428571
"Rural Association of Northern California Health Officers (RANCHO)",2021-04-25,0.790697674418605,0.0116279069767442,0.0348837209302326,0,0.162790697674419
"San Joaquin Valley Consortium (SJVC)",2021-04-25,0.552742616033755,0.0379746835443038,0.00421940928270042,0,0.405063291139241
"Southern California Health Officers",2021-04-25,0.636550308008214,0.0975359342915811,0.0184804928131417,0,0.247433264887064
"California",2021-04-25,0.626029654036244,0.0724876441515651,0.0345963756177924,0,0.266886326194399
"Association of Bay Area Health Officers (ABAHO)",2021-04-26,0.599358974358974,0.0480769230769231,0.115384615384615,0,0.237179487179487
"Greater Sacramento Region Health Officers",2021-04-26,0.668122270742358,0.0567685589519651,0.0262008733624454,0,0.248908296943231
"Rural Association of Northern California Health Officers (RANCHO)",2021-04-26,0.776470588235294,0,0.0352941176470588,0,0.188235294117647
"San Joaquin Valley Consortium (SJVC)",2021-04-26,0.561264822134387,0.0395256916996047,0.00395256916996047,0,0.395256916996047
"Southern California Health Officers",2021-04-26,0.640724946695096,0.106609808102345,0.0181236673773987,0,0.23454157782516
"California",2021-04-26,0.632361034672537,0.0759493670886076,0.034672537149147,0,0.257017061089708
"Association of Bay Area Health Officers (ABAHO)",2021-04-27,0.610223642172524,0.0575079872204473,0.10223642172524,0,0.230031948881789
"Greater Sacramento Region Health Officers",2021-04-27,0.66798418972332,0.0434782608695652,0.0276679841897233,0,0.260869565217391
"Rural Association of Northern California Health Officers (RANCHO)",2021-04-27,0.789473684210526,0,0,0,0.210526315789474
"San Joaquin Valley Consortium (SJVC)",2021-04-27,0.536480686695279,0.0429184549356223,0.00429184549356223,0,0.416309012875536
"Southern California Health Officers",2021-04-27,0.624338624338624,0.107936507936508,0.0232804232804233,0,0.244444444444444
"California",2021-04-27,0.623626373626374,0.0774725274725275,0.0340659340659341,0,0.264835164835165
"Association of Bay Area Health Officers (ABAHO)",2021-04-28,0.590361445783133,0.0512048192771084,0.114457831325301,0,0.243975903614458
"Greater Sacramento Region Health Officers",2021-04-28,0.640151515151515,0.0340909090909091,0.0416666666666667,0,0.284090909090909
"Rural Association of Northern California Health Officers (RANCHO)",2021-04-28,0.710526315789474,0.0131578947368421,0,0,0.276315789473684
"San Joaquin Valley Consortium (SJVC)",2021-04-28,0.546153846153846,0.05,0.00769230769230769,0,0.396153846153846
"Southern California Health Officers",2021-04-28,0.631524008350731,0.115866388308977,0.0219206680584551,0,0.230688935281837
"California",2021-04-28,0.616931216931217,0.0798941798941799,0.0380952380952381,0,0.265079365079365
"Association of Bay Area Health Officers (ABAHO)",2021-04-29,0.586309523809524,0.0565476190476191,0.12202380952381,0,0.235119047619048
"Greater Sacramento Region Health Officers",2021-04-29,0.664285714285714,0.025,0.0357142857142857,0,0.275
"Rural Association of Northern California Health Officers (RANCHO)",2021-04-29,0.714285714285714,0.025974025974026,0,0,0.25974025974026
"San Joaquin Valley Consortium (SJVC)",2021-04-29,0.51985559566787,0.0433212996389892,0.0180505415162455,0,0.418772563176895
"Southern California Health Officers",2021-04-29,0.635405690200211,0.12118018967334,0.0305584826132771,0,0.212855637513172
"California",2021-04-29,0.617509119332986,0.0807712350182387,0.044293903074518,0,0.257425742574257
"Association of Bay Area Health Officers (ABAHO)",2021-04-30,0.6,0.0484848484848485,0.127272727272727,0,0.224242424242424
"Greater Sacramento Region Health Officers",2021-04-30,0.691489361702128,0.0319148936170213,0.0425531914893617,0,0.234042553191489
"Rural Association of Northern California Health Officers (RANCHO)",2021-04-30,0.650793650793651,0.0634920634920635,0,0,0.285714285714286
"San Joaquin Valley Consortium (SJVC)",2021-04-30,0.510791366906475,0.039568345323741,0.0287769784172662,0,0.420863309352518
"Southern California Health Officers",2021-04-30,0.657082002129925,0.12566560170394,0.0340788072417465,0,0.183173588924388
"California",2021-04-30,0.630549682875264,0.0835095137420719,0.0496828752642706,0,0.236257928118393
"Association of Bay Area Health Officers (ABAHO)",2021-05-01,0.596541786743516,0.0576368876080692,0.126801152737752,0,0.219020172910663
"Greater Sacramento Region Health Officers",2021-05-01,0.675675675675676,0.0304054054054054,0.0540540540540541,0,0.239864864864865
"Rural Association of Northern California Health Officers (RANCHO)",2021-05-01,0.643835616438356,0.0684931506849315,0,0,0.287671232876712
"San Joaquin Valley Consortium (SJVC)",2021-05-01,0.525951557093426,0.0380622837370242,0.0380622837370242,0,0.397923875432526
"Southern California Health Officers",2021-05-01,0.658031088082902,0.133678756476684,0.033160621761658,0,0.175129533678756
"California",2021-05-01,0.62994923857868,0.0883248730964467,0.0522842639593909,0,0.229441624365482
"Association of Bay Area Health Officers (ABAHO)",2021-05-02,0.587570621468927,0.0564971751412429,0.127118644067797,0,0.228813559322034
"Greater Sacramento Region Health Officers",2021-05-02,0.673400673400673,0.0269360269360269,0.063973063973064,0,0.235690235690236
"Rural Association of Northern California Health Officers (RANCHO)",2021-05-02,0.633802816901409,0.0704225352112676,0,0,0.295774647887324
"San Joaquin Valley Consortium (SJVC)",2021-05-02,0.558528428093645,0.0367892976588629,0.040133779264214,0,0.364548494983278
"Southern California Health Officers",2021-05-02,0.66096256684492,0.135828877005348,0.0299465240641711,0,0.173262032085561
"California",2021-05-02,0.632924335378323,0.0874233128834356,0.0531697341513292,0,0.226482617586912
"Association of Bay Area Health Officers (ABAHO)",2021-05-03,0.572271386430678,0.056047197640118,0.129793510324484,0,0.24188790560472
"Greater Sacramento Region Health Officers",2021-05-03,0.692832764505119,0.0238907849829352,0.068259385665529,0,0.215017064846416
"Rural Association of Northern California Health Officers (RANCHO)",2021-05-03,0.63768115942029,0.101449275362319,0,0,0.260869565217391
"San Joaquin Valley Consortium (SJVC)",2021-05-03,0.552287581699346,0.0359477124183007,0.0392156862745098,0,0.372549019607843
"Southern California Health Officers",2021-05-03,0.669247787610619,0.131637168141593,0.0309734513274336,0,0.168141592920354
"California",2021-05-03,0.635792778649921,0.0852956567242281,0.054421768707483,0,0.224489795918367
"Association of Bay Area Health Officers (ABAHO)",2021-05-04,0.55786350148368,0.056379821958457,0.13946587537092,0,0.246290801186944
"Greater Sacramento Region Health Officers",2021-05-04,0.682310469314079,0.0252707581227437,0.0794223826714802,0,0.212996389891697
"Rural Association of Northern California Health Officers (RANCHO)",2021-05-04,0.6,0.117647058823529,0,0,0.282352941176471
"San Joaquin Valley Consortium (SJVC)",2021-05-04,0.554545454545455,0.0363636363636364,0.0454545454545455,0,0.363636363636364
"Southern California Health Officers",2021-05-04,0.672374429223744,0.14041095890411,0.0285388127853881,0,0.158675799086758
"California",2021-05-04,0.62992125984252,0.0897637795275591,0.0572178477690289,0,0.223097112860892
"Association of Bay Area Health Officers (ABAHO)",2021-05-05,0.534883720930233,0.063953488372093,0.136627906976744,0,0.26453488372093
"Greater Sacramento Region Health Officers",2021-05-05,0.705660377358491,0.0264150943396226,0.0792452830188679,0,0.188679245283019
"Rural Association of Northern California Health Officers (RANCHO)",2021-05-05,0.6125,0.125,0,0,0.2625
"San Joaquin Valley Consortium (SJVC)",2021-05-05,0.567398119122257,0.0407523510971787,0.0438871473354232,0,0.347962382445141
"Southern California Health Officers",2021-05-05,0.666276346604215,0.140515222482436,0.0351288056206089,0,0.15807962529274
"California",2021-05-05,0.628356605800215,0.0923737916219119,0.0601503759398496,0,0.219119226638024
"Association of Bay Area Health Officers (ABAHO)",2021-05-06,0.549848942598187,0.0574018126888218,0.13595166163142,0,0.256797583081571
"Greater Sacramento Region Health Officers",2021-05-06,0.704918032786885,0.0286885245901639,0.0901639344262295,0,0.176229508196721
"Rural Association of Northern California Health Officers (RANCHO)",2021-05-06,0.658823529411765,0.117647058823529,0,0,0.223529411764706
"San Joaquin Valley Consortium (SJVC)",2021-05-06,0.583081570996979,0.0362537764350453,0.0453172205438067,0,0.335347432024169
"Southern California Health Officers",2021-05-06,0.669022379269729,0.151943462897527,0.0318021201413428,0,0.147232037691402
"California",2021-05-06,0.636413043478261,0.096195652173913,0.0592391304347826,0,0.208152173913043
"Association of Bay Area Health Officers (ABAHO)",2021-05-07,0.533724340175953,0.0557184750733138,0.146627565982405,0,0.263929618768328
"Greater Sacramento Region Health Officers",2021-05-07,0.67965367965368,0.025974025974026,0.0995670995670996,0,0.194805194805195
"Rural Association of Northern California Health Officers (RANCHO)",2021-05-07,0.670454545454545,0.102272727272727,0,0,0.227272727272727
"San Joaquin Valley Consortium (SJVC)",2021-05-07,0.589123867069486,0.0392749244712991,0.0483383685800604,0,0.323262839879154
"Southern California Health Officers",2021-05-07,0.665012406947891,0.161290322580645,0.0297766749379653,0,0.143920595533499
"California",2021-05-07,0.628269337785198,0.0984974958263773,0.0628825820812465,0,0.210350584307179
"Association of Bay Area Health Officers (ABAHO)",2021-05-08,0.53680981595092,0.049079754601227,0.150306748466258,0,0.263803680981595
"Greater Sacramento Region Health Officers",2021-05-08,0.706422018348624,0.0275229357798165,0.0963302752293578,0,0.169724770642202
"Rural Association of Northern California Health Officers (RANCHO)",2021-05-08,0.694117647058824,0.0941176470588235,0,0,0.211764705882353
"San Joaquin Valley Consortium (SJVC)",2021-05-08,0.592356687898089,0.0414012738853503,0.0414012738853503,0,0.32484076433121
"Southern California Health Officers",2021-05-08,0.669211195928753,0.151399491094148,0.0330788804071247,0,0.146310432569975
"California",2021-05-08,0.636205899363794,0.0936957779063042,0.0630422209369578,0,0.207056101792944
"Association of Bay Area Health Officers (ABAHO)",2021-05-09,0.545171339563863,0.0467289719626168,0.146417445482866,0,0.261682242990654
"Greater Sacramento Region Health Officers",2021-05-09,0.721973094170404,0.0269058295964126,0.0852017937219731,0,0.165919282511211
"Rural Association of Northern California Health Officers (RANCHO)",2021-05-09,0.66304347826087,0.108695652173913,0,0,0.228260869565217
"San Joaquin Valley Consortium (SJVC)",2021-05-09,0.584717607973422,0.0465116279069768,0.0431893687707641,0,0.325581395348837
"Southern California Health Officers",2021-05-09,0.662484316185696,0.158092848180678,0.0313676286072773,0,0.148055207026349
"California",2021-05-09,0.634948096885813,0.0986159169550173,0.0599769319492503,0,0.206459054209919
"Association of Bay Area Health Officers (ABAHO)",2021-05-10,0.54635761589404,0.043046357615894,0.152317880794702,0,0.258278145695364
"Greater Sacramento Region Health Officers",2021-05-10,0.69,0.02,0.105,0,0.185
"Rural Association of Northern California Health Officers (RANCHO)",2021-05-10,0.631578947368421,0.126315789473684,0,0,0.242105263157895
"San Joaquin Valley Consortium (SJVC)",2021-05-10,0.594306049822064,0.0498220640569395,0.0569395017793594,0,0.298932384341637
"Southern California Health Officers",2021-05-10,0.663341645885287,0.150872817955112,0.0336658354114713,0,0.15211970074813
"California",2021-05-10,0.632142857142857,0.0976190476190476,0.0654761904761905,0,0.204761904761905
"Association of Bay Area Health Officers (ABAHO)",2021-05-11,0.545774647887324,0.0492957746478873,0.158450704225352,0,0.246478873239437
"Greater Sacramento Region Health Officers",2021-05-11,0.697802197802198,0.0164835164835165,0.104395604395604,0,0.181318681318681
"Rural Association of Northern California Health Officers (RANCHO)",2021-05-11,0.686746987951807,0.120481927710843,0,0,0.192771084337349
"San Joaquin Valley Consortium (SJVC)",2021-05-11,0.602189781021898,0.062043795620438,0.0547445255474453,0,0.281021897810219
"Southern California Health Officers",2021-05-11,0.672798948751643,0.140604467805519,0.0354796320630749,0,0.151116951379763
"California",2021-05-11,0.641414141414141,0.0953282828282828,0.0669191919191919,0,0.196338383838384
"Association of Bay Area Health Officers (ABAHO)",2021-05-12,0.563432835820896,0.0522388059701493,0.16044776119403,0,0.223880597014925
"Greater Sacramento Region Health Officers",2021-05-12,0.683544303797468,0.0126582278481013,0.107594936708861,0,0.19620253164557
"Rural Association of Northern California Health Officers (RANCHO)",2021-05-12,0.635416666666667,0.135416666666667,0.0104166666666667,0,0.21875
"San Joaquin Valley Consortium (SJVC)",2021-05-12,0.602230483271376,0.0631970260223048,0.0594795539033457,0,0.275092936802974
"Southern California Health Officers",2021-05-12,0.690735694822888,0.128065395095368,0.0367847411444142,0,0.14441416893733
"California",2021-05-12,0.648524590163934,0.0918032786885246,0.0681967213114754,0,0.191475409836066
"Association of Bay Area Health Officers (ABAHO)",2021-05-13,0.578313253012048,0.0562248995983936,0.160642570281125,0,0.204819277108434
"Greater Sacramento Region Health Officers",2021-05-13,0.70625,0.01875,0.0875,0,0.1875
"Rural Association of Northern California Health Officers (RANCHO)",2021-05-13,0.615384615384615,0.153846153846154,0.010989010989011,0,0.21978021978022
"San Joaquin Valley Consortium (SJVC)",2021-05-13,0.604938271604938,0.0864197530864198,0.0617283950617284,0,0.246913580246914
"Southern California Health Officers",2021-05-13,0.716569767441861,0.104651162790698,0.0334302325581395,0,0.145348837209302
"California",2021-05-13,0.6659678546471,0.0866526904262753,0.0649895178197065,0,0.182389937106918
"Association of Bay Area Health Officers (ABAHO)",2021-05-14,0.589519650655022,0.0873362445414847,0.135371179039301,0,0.187772925764192
"Greater Sacramento Region Health Officers",2021-05-14,0.758389261744966,0.00671140939597315,0.0738255033557047,0,0.161073825503356
"Rural Association of Northern California Health Officers (RANCHO)",2021-05-14,0.558823529411765,0.186274509803922,0.00980392156862745,0,0.245098039215686
"San Joaquin Valley Consortium (SJVC)",2021-05-14,0.588709677419355,0.0806451612903226,0.0604838709677419,0,0.270161290322581
"Southern California Health Officers",2021-05-14,0.740029542097489,0.0930576070901034,0.0310192023633678,0,0.13589364844904
"California",2021-05-14,0.677580071174377,0.0875444839857651,0.0562277580071174,0,0.17864768683274
"Association of Bay Area Health Officers (ABAHO)",2021-05-15,0.577272727272727,0.0863636363636364,0.131818181818182,0,0.204545454545455
"Greater Sacramento Region Health Officers",2021-05-15,0.743243243243243,0.0135135135135135,0.0608108108108108,0,0.182432432432432
"Rural Association of Northern California Health Officers (RANCHO)",2021-05-15,0.515789473684211,0.210526315789474,0.0105263157894737,0,0.263157894736842
"San Joaquin Valley Consortium (SJVC)",2021-05-15,0.586345381526104,0.0803212851405623,0.0602409638554217,0,0.273092369477912
"Southern California Health Officers",2021-05-15,0.748125937031484,0.0929535232383808,0.0269865067466267,0,0.131934032983508
"California",2021-05-15,0.6751269035533,0.0891950688905004,0.0522117476432197,0,0.18346627991298
"Association of Bay Area Health Officers (ABAHO)",2021-05-16,0.571428571428571,0.0875576036866359,0.133640552995392,0,0.207373271889401
"Greater Sacramento Region Health Officers",2021-05-16,0.715277777777778,0.0138888888888889,0.0555555555555556,0,0.215277777777778
"Rural Association of Northern California Health Officers (RANCHO)",2021-05-16,0.511627906976744,0.22093023255814,0.0116279069767442,0,0.255813953488372
"San Joaquin Valley Consortium (SJVC)",2021-05-16,0.597609561752988,0.0796812749003984,0.0557768924302789,0,0.266932270916335
"Southern California Health Officers",2021-05-16,0.758832565284178,0.0875576036866359,0.0291858678955453,0,0.124423963133641
"California",2021-05-16,0.678280207561156,0.0867309117865085,0.0526315789473684,0,0.182357301704967
"Association of Bay Area Health Officers (ABAHO)",2021-05-17,0.551111111111111,0.0844444444444445,0.106666666666667,0,0.257777777777778
"Greater Sacramento Region Health Officers",2021-05-17,0.698630136986301,0.0205479452054795,0.0479452054794521,0,0.232876712328767
"Rural Association of Northern California Health Officers (RANCHO)",2021-05-17,0.516129032258065,0.236559139784946,0.010752688172043,0,0.236559139784946
"San Joaquin Valley Consortium (SJVC)",2021-05-17,0.614457831325301,0.0803212851405623,0.0481927710843374,0,0.257028112449799
"Southern California Health Officers",2021-05-17,0.757575757575758,0.0972886762360447,0.0303030303030303,0,0.114832535885167
"California",2021-05-17,0.673134328358209,0.0932835820895522,0.0470149253731343,0,0.186567164179104
"Association of Bay Area Health Officers (ABAHO)",2021-05-18,0.553398058252427,0.087378640776699,0.087378640776699,0,0.271844660194175
"Greater Sacramento Region Health Officers",2021-05-18,0.69375,0.025,0.0625,0,0.21875
"Rural Association of Northern California Health Officers (RANCHO)",2021-05-18,0.474226804123711,0.278350515463918,0.0103092783505155,0,0.237113402061856
"San Joaquin Valley Consortium (SJVC)",2021-05-18,0.633744855967078,0.065843621399177,0.0411522633744856,0,0.259259259259259
"Southern California Health Officers",2021-05-18,0.761146496815287,0.109872611464968,0.0286624203821656,0,0.10031847133758
"California",2021-05-18,0.676911544227886,0.100449775112444,0.0427286356821589,0,0.179910044977511
"Association of Bay Area Health Officers (ABAHO)",2021-05-19,0.564593301435407,0.0956937799043062,0.0861244019138756,0,0.253588516746412
"Greater Sacramento Region Health Officers",2021-05-19,0.693251533742331,0.0306748466257669,0.0552147239263804,0,0.220858895705521
"Rural Association of Northern California Health Officers (RANCHO)",2021-05-19,0.541176470588235,0.282352941176471,0,0,0.176470588235294
"San Joaquin Valley Consortium (SJVC)",2021-05-19,0.65948275862069,0.0732758620689655,0.0517241379310345,0,0.21551724137931
"Southern California Health Officers",2021-05-19,0.764415156507414,0.113673805601318,0.0214168039538715,0,0.100494233937397
"California",2021-05-19,0.689814814814815,0.104166666666667,0.0401234567901235,0,0.165895061728395
"Association of Bay Area Health Officers (ABAHO)",2021-05-20,0.55868544600939,0.103286384976526,0.0751173708920188,0,0.262910798122066
"Greater Sacramento Region Health Officers",2021-05-20,0.66,0.0266666666666667,0.0666666666666667,0,0.246666666666667
"Rural Association of Northern California Health Officers (RANCHO)",2021-05-20,0.456521739130435,0.260869565217391,0,0,0.282608695652174
"San Joaquin Valley Consortium (SJVC)",2021-05-20,0.691629955947137,0.052863436123348,0.039647577092511,0,0.215859030837004
"Southern California Health Officers",2021-05-20,0.735244519392917,0.126475548060708,0.0252951096121417,0,0.112984822934233
"California",2021-05-20,0.669019607843137,0.107450980392157,0.0392156862745098,0,0.184313725490196
"Association of Bay Area Health Officers (ABAHO)",2021-05-21,0.541666666666667,0.0787037037037037,0.087962962962963,0,0.291666666666667
"Greater Sacramento Region Health Officers",2021-05-21,0.653061224489796,0.0340136054421769,0.0612244897959184,0,0.251700680272109
"Rural Association of Northern California Health Officers (RANCHO)",2021-05-21,0.48314606741573,0.224719101123596,0.0224719101123596,0,0.269662921348315
"San Joaquin Valley Consortium (SJVC)",2021-05-21,0.732323232323232,0.0606060606060606,0.0303030303030303,0,0.176767676767677
"Southern California Health Officers",2021-05-21,0.716549295774648,0.125,0.0316901408450704,0,0.126760563380282
"California",2021-05-21,0.663382594417077,0.102627257799672,0.0443349753694581,0,0.189655172413793
"Association of Bay Area Health Officers (ABAHO)",2021-05-22,0.537037037037037,0.0833333333333333,0.0925925925925926,0,0.287037037037037
"Greater Sacramento Region Health Officers",2021-05-22,0.651315789473684,0.0394736842105263,0.0657894736842105,0,0.243421052631579
"Rural Association of Northern California Health Officers (RANCHO)",2021-05-22,0.5,0.223404255319149,0.0319148936170213,0,0.24468085106383
"San Joaquin Valley Consortium (SJVC)",2021-05-22,0.727272727272727,0.0555555555555556,0.0353535353535354,0,0.181818181818182
"Southern California Health Officers",2021-05-22,0.713503649635037,0.127737226277372,0.0346715328467153,0,0.124087591240876
"California",2021-05-22,0.65976821192053,0.104304635761589,0.048841059602649,0,0.187086092715232
"Association of Bay Area Health Officers (ABAHO)",2021-05-23,0.518518518518519,0.087962962962963,0.087962962962963,0,0.305555555555556
"Greater Sacramento Region Health Officers",2021-05-23,0.657534246575342,0.0410958904109589,0.0684931506849315,0,0.232876712328767
"Rural Association of Northern California Health Officers (RANCHO)",2021-05-23,0.51063829787234,0.212765957446809,0.0319148936170213,0,0.24468085106383
"San Joaquin Valley Consortium (SJVC)",2021-05-23,0.708791208791209,0.054945054945055,0.0494505494505495,0,0.186813186813187
"Southern California Health Officers",2021-05-23,0.714808043875686,0.127970749542962,0.0383912248628885,0,0.118829981718464
"California",2021-05-23,0.654852320675106,0.105485232067511,0.0523206751054852,0,0.187341772151899
"Association of Bay Area Health Officers (ABAHO)",2021-05-24,0.523364485981308,0.0981308411214953,0.107476635514019,0,0.271028037383178
"Greater Sacramento Region Health Officers",2021-05-24,0.669172932330827,0.0526315789473684,0.075187969924812,0,0.203007518796992
"Rural Association of Northern California Health Officers (RANCHO)",2021-05-24,0.538461538461538,0.175824175824176,0.043956043956044,0,0.241758241758242
"San Joaquin Valley Consortium (SJVC)",2021-05-24,0.69060773480663,0.0718232044198895,0.0828729281767956,0,0.154696132596685
"Southern California Health Officers",2021-05-24,0.703065134099617,0.120689655172414,0.0459770114942529,0,0.130268199233716
"California",2021-05-24,0.650306748466258,0.105170902716915,0.0666082383873795,0,0.177914110429448
"Association of Bay Area Health Officers (ABAHO)",2021-05-25,0.514018691588785,0.0981308411214953,0.121495327102804,0,0.266355140186916
"Greater Sacramento Region Health Officers",2021-05-25,0.683333333333333,0.05,0.0583333333333333,0,0.208333333333333
"Rural Association of Northern California Health Officers (RANCHO)",2021-05-25,0.56043956043956,0.131868131868132,0.043956043956044,0,0.263736263736264
"San Joaquin Valley Consortium (SJVC)",2021-05-25,0.670454545454545,0.0738636363636364,0.0852272727272727,0,0.170454545454545
"Southern California Health Officers",2021-05-25,0.680808080808081,0.103030303030303,0.0585858585858586,0,0.157575757575758
"California",2021-05-25,0.636861313868613,0.093978102189781,0.0739051094890511,0,0.195255474452555
"Association of Bay Area Health Officers (ABAHO)",2021-05-26,0.507772020725389,0.113989637305699,0.113989637305699,0,0.264248704663212
"Greater Sacramento Region Health Officers",2021-05-26,0.717948717948718,0.0598290598290598,0.0598290598290598,0,0.162393162393162
"Rural Association of Northern California Health Officers (RANCHO)",2021-05-26,0.536842105263158,0.126315789473684,0.0631578947368421,0,0.273684210526316
"San Joaquin Valley Consortium (SJVC)",2021-05-26,0.644578313253012,0.0662650602409639,0.0963855421686747,0,0.192771084337349
"Southern California Health Officers",2021-05-26,0.662551440329218,0.111111111111111,0.0781893004115226,0,0.148148148148148
"California",2021-05-26,0.626300851466414,0.100283822138127,0.0842005676442762,0,0.189214758751183
"Association of Bay Area Health Officers (ABAHO)",2021-05-27,0.50253807106599,0.116751269035533,0.137055837563452,0,0.243654822335025
"Greater Sacramento Region Health Officers",2021-05-27,0.708333333333333,0.0583333333333333,0.1,0,0.133333333333333
"Rural Association of Northern California Health Officers (RANCHO)",2021-05-27,0.617283950617284,0.135802469135802,0.0740740740740741,0,0.17283950617284
"San Joaquin Valley Consortium (SJVC)",2021-05-27,0.625,0.0875,0.13125,0,0.15625
"Southern California Health Officers",2021-05-27,0.667359667359667,0.101871101871102,0.0831600831600832,0,0.147609147609148
"California",2021-05-27,0.63041385948027,0.10009624639076,0.102021174205967,0,0.167468719923003
"Association of Bay Area Health Officers (ABAHO)",2021-05-28,0.523076923076923,0.117948717948718,0.112820512820513,0,0.246153846153846
"Greater Sacramento Region Health Officers",2021-05-28,0.68503937007874,0.062992125984252,0.118110236220472,0,0.133858267716535
"Rural Association of Northern California Health Officers (RANCHO)",2021-05-28,0.656716417910448,0.134328358208955,0.0597014925373134,0,0.149253731343284
"San Joaquin Valley Consortium (SJVC)",2021-05-28,0.587209302325582,0.0813953488372093,0.180232558139535,0,0.151162790697674
"Southern California Health Officers",2021-05-28,0.638075313807531,0.125523012552301,0.104602510460251,0,0.131799163179916
"California",2021-05-28,0.615014436958614,0.109720885466795,0.117420596727623,0,0.157844080846968
"Association of Bay Area Health Officers (ABAHO)",2021-05-29,0.510309278350515,0.134020618556701,0.11340206185567,0,0.242268041237113
"Greater Sacramento Region Health Officers",2021-05-29,0.684684684684685,0.0540540540540541,0.144144144144144,0,0.117117117117117
"Rural Association of Northern California Health Officers (RANCHO)",2021-05-29,0.637931034482759,0.137931034482759,0.0517241379310345,0,0.172413793103448
"San Joaquin Valley Consortium (SJVC)",2021-05-29,0.588235294117647,0.0823529411764706,0.188235294117647,0,0.141176470588235
"Southern California Health Officers",2021-05-29,0.633540372670808,0.122153209109731,0.113871635610766,0,0.130434782608696
"California",2021-05-29,0.608267716535433,0.111220472440945,0.125984251968504,0,0.154527559055118
"Association of Bay Area Health Officers (ABAHO)",2021-05-30,0.523316062176166,0.124352331606218,0.145077720207254,0,0.207253886010363
"Greater Sacramento Region Health Officers",2021-05-30,0.675675675675676,0.0540540540540541,0.153153153153153,0,0.117117117117117
"Rural Association of Northern California Health Officers (RANCHO)",2021-05-30,0.611111111111111,0.148148148148148,0.0555555555555556,0,0.185185185185185
"San Joaquin Valley Consortium (SJVC)",2021-05-30,0.590909090909091,0.0909090909090909,0.176136363636364,0,0.142045454545455
"Southern California Health Officers",2021-05-30,0.623430962343096,0.119246861924686,0.123430962343096,0,0.133891213389121
"California",2021-05-30,0.603754940711462,0.109683794466403,0.136363636363636,0,0.150197628458498
"Association of Bay Area Health Officers (ABAHO)",2021-05-31,0.536144578313253,0.126506024096386,0.144578313253012,0,0.192771084337349
"Greater Sacramento Region Health Officers",2021-05-31,0.676767676767677,0.0404040404040404,0.161616161616162,0,0.121212121212121
"Rural Association of Northern California Health Officers (RANCHO)",2021-05-31,0.611111111111111,0.138888888888889,0.0555555555555556,0,0.194444444444444
"San Joaquin Valley Consortium (SJVC)",2021-05-31,0.585714285714286,0.0857142857142857,0.171428571428571,0,0.157142857142857
"Southern California Health Officers",2021-05-31,0.617224880382775,0.124401913875598,0.141148325358852,0,0.117224880382775
"California",2021-05-31,0.60302677532014,0.109429569266589,0.145518044237485,0,0.142025611175786
"Association of Bay Area Health Officers (ABAHO)",2021-06-01,0.538071065989848,0.121827411167513,0.16243654822335,0,0.177664974619289
"Greater Sacramento Region Health Officers",2021-06-01,0.634615384615385,0.0480769230769231,0.240384615384615,0,0.0769230769230769
"Rural Association of Northern California Health Officers (RANCHO)",2021-06-01,0.725,0.1,0.075,0,0.1
"San Joaquin Valley Consortium (SJVC)",2021-06-01,0.588235294117647,0.139705882352941,0.176470588235294,0,0.0955882352941176
"Southern California Health Officers",2021-06-01,0.597802197802198,0.127472527472527,0.171428571428571,0,0.103296703296703
"California",2021-06-01,0.593347639484979,0.118025751072961,0.17381974248927,0,0.11480686695279
"Association of Bay Area Health Officers (ABAHO)",2021-06-02,0.522727272727273,0.104545454545455,0.231818181818182,0,0.140909090909091
"Greater Sacramento Region Health Officers",2021-06-02,0.529411764705882,0.0784313725490196,0.294117647058824,0,0.0980392156862745
"Rural Association of Northern California Health Officers (RANCHO)",2021-06-02,0.731707317073171,0.146341463414634,0.0487804878048781,0,0.0731707317073171
"San Joaquin Valley Consortium (SJVC)",2021-06-02,0.578947368421053,0.150375939849624,0.172932330827068,0,0.0977443609022556
"Southern California Health Officers",2021-06-02,0.571764705882353,0.131764705882353,0.188235294117647,0,0.108235294117647
"California",2021-06-02,0.563517915309446,0.122692725298589,0.201954397394137,0,0.111834961997828
"Association of Bay Area Health Officers (ABAHO)",2021-06-03,0.5,0.0945945945945946,0.27027027027027,0,0.135135135135135
"Greater Sacramento Region Health Officers",2021-06-03,0.53125,0.104166666666667,0.260416666666667,0,0.104166666666667
"Rural Association of Northern California Health Officers (RANCHO)",2021-06-03,0.714285714285714,0.19047619047619,0.0476190476190476,0,0.0476190476190476
"San Joaquin Valley Consortium (SJVC)",2021-06-03,0.565891472868217,0.147286821705426,0.155038759689923,0,0.131782945736434
